ROTT,ROTT_min,ROTT_mean,ROTT_dev,ROTT_ROTT_mean,ROTT_ROTT_max,ROTT_ROTT_min,ROTT_min_mean,ROTT_ROTT_mean_dev,ROTT_ROTT_mean_dev2,IAT,IATmin,IATmax,IATmean,IAT与最小值比,IAT与最大值比,IAT与平均值比,IAT最小比平均,临近IAT比值,Numrec,Numloss,丢包类别
0.0038,0.0038,0.003805,-0.000005,0.998579,0.820734,1,0.998578653,0.997161,0.997869,0.0016,0.0008,0.0016,0.0015899,2,1,1.0063694,0.5031847,1,159,2,-1
0.0038,0.0038,0.003802,-0.000002,0.999536,0.984456,1,0.999535819,0.999072,0.999304,0.0016,0.00154,0.0016,0.0015982,1.038961,1,1.0011377,0.963595,1,34,1,-1
0.0038,0.0038,0.003801,-0.000001,0.999781,0.992167,1,0.99978075,0.999562,0.999671,0.0016,0.00157,0.0016,0.0015991,1.0191083,1,1.000536,0.981776,1,36,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,66,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,241,1,1
0.0039,0.0038,0.003825,0.000075,1.019608,0.735849,1.026316,0.993464052,1.04,1.029703,0.0008,0.0008,0.0016,0.0015697,1,0.5,0.5096589,0.5096589,1,156,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,6,1,1
0.0044,0.0038,0.003842,0.000558,1.145145,1,1.157895,0.988988989,1.339578,1.234754,0.0009,0.0008,0.0016,0.001508,1.125,0.5625,0.596817,0.530504,1.125,26,1,-1
0.0042,0.0038,0.003812,0.000387,1.101639,1,1.105263,0.996721311,1.226277,1.160622,0.0008,0.0008,0.0016,0.0015742,1,0.5,0.5081967,0.5081967,0.5,32,3,-1
0.0041,0.0038,0.003809,0.000291,1.076292,1,1.078947,0.997538966,1.165187,1.118977,0.0008,0.0008,0.0016,0.0015742,1,0.5,0.5081967,0.5081967,0.5,32,1,-1
0.004,0.0038,0.0039,0.0001,1.025641,1,1.052632,0.974358974,1.052632,1.038961,0.0008,0.0008,0.0008,0.0008,1,1,1,1,0,2,1,-1
0.0039,0.0038,0.003803,0.000097,1.025472,1,1.026316,0.999178307,1.052277,1.038702,0.0008,0.0008,0.0016,0.0015742,1,0.5,0.5081967,0.5081967,0.5,32,1,-1
0.0039,0.0038,0.00385,0.00005,1.012987,1,1.026316,0.987012987,1.026316,1.019608,0.0008,0.0008,0.0008,0.0008,1,1,1,1,0,2,1,-1
0.0039,0.0038,0.003803,0.000097,1.025522,1,1.026316,0.999226605,1.052381,1.038778,0.0009,0.0009,0.0016,0.0015788,1,0.5625,0.5700576,0.5700576,0.5625,34,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0009,0.0009,0.0016,0.0015788,1,0.5625,0.5700576,0.5700576,0.5625,34,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.001,0.001,0.0016,0.0015812,1,0.625,0.6324111,0.6324111,0.625,33,2,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,45,1,1
0.0038,0.0038,0.003802,-0.000002,0.999508,0.95,1,0.999508358,0.999017,0.999263,0.0016,0.0008,0.0016,0.0015849,2,1,1.0095238,0.5047619,1,107,1,1
0.005,0.0038,0.00415,0.00085,1.204819,1,1.315789,0.915662651,1.515152,1.342282,0.0008,0.0008,0.0016,0.0012,1,0.5,0.6666667,0.6666667,0.8888889,6,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,16,1,1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,7,1,1
